accountID,date,transactionType,category,description,Amount,accountBAL
8010-27075685-001,2024-12-05 23:29:12,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-162.75,-670.51
8010-27075685-001,2024-12-06 14:57:41,Debit,Bills (Entertainment),Cloud Gaming Subscription,-116.48,-786.99
8010-27075685-001,2024-12-06 20:27:42,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-270.9,-1057.89
8010-27075685-001,2024-12-07 05:30:00,Debit,Loan,Personal Loan,-500.32,-1558.21
8010-27075685-001,2024-12-07 17:41:24,Credit,Deposit,Salary Deposit,5000.95,3442.74
8010-27075685-001,2024-12-07 18:44:27,Debit,Facilities (2d),C l o u d   S e r v i c e,-174.8,3267.94
8010-27075685-001,2024-12-10 18:51:33,Debit,Maintenance/Service,Plumber Service,-200.17,3067.77
8010-27075685-001,2024-12-15 05:08:30,Debit,Maintenance/Service,Plumber Service,-219.94,2847.83
8010-27075685-001,2024-12-20 12:53:06,Debit,Maintenance/Service,Electrician Service,-169.24,2678.59
8010-27075685-001,2024-12-22 03:45:51,Debit,Maintenance/Service,Auto Repair,-202.41,2476.18
8010-27075685-001,2025-01-01 12:14:26,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-67.2,2408.98
8010-27075685-001,2025-01-01 17:35:16,Debit,Facilities (2a),W a t e r   U t i l i t y,-81.42,2327.56
8010-27075685-001,2025-01-02 00:27:05,Credit,Deposit Extra,Mobile Wallet Transfer,144.5,2472.06
8010-27075685-001,2025-01-02 05:25:18,Debit,Facilities (2b),G a s   P r o v i d e r,-79.48,2392.58
8010-27075685-001,2025-01-02 11:27:05,Debit,Bills (Entertainment),Cloud Gaming Subscription,-126.86,2265.72
8010-27075685-001,2025-01-02 20:01:54,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-92.53,2173.19
8010-27075685-001,2025-01-03 09:40:42,Debit,Family Allowances,Spouse Allowance,-254.54,1918.65
8010-27075685-001,2025-01-03 14:57:32,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-199.57,1719.08
8010-27075685-001,2025-01-03 17:45:09,Debit,Facilities (1b),I n s u r a n c e,-236.4,1482.68
8010-27075685-001,2025-01-03 18:11:10,Debit,Maintenance/Service,Plumber Service,-226.66,1256.02
8010-27075685-001,2025-01-04 01:20:38,Debit,Loan,Housing Loan,-1000.59,255.43
8010-27075685-001,2025-01-04 17:25:18,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-262.95,-7.52
8010-27075685-001,2025-01-05 02:12:30,Debit,Loan,Vehicle Loan,-500.58,-508.1
8010-27075685-001,2025-01-05 08:25:26,Debit,Family Allowances,Children Allowance,-142.89,-650.99
8010-27075685-001,2025-01-05 09:10:05,Debit,Facilities (2d),C l o u d   S e r v i c e,-105.69,-756.68
8010-27075685-001,2025-01-07 05:18:09,Credit,Deposit,Salary Deposit,5000.7,4244.02
8010-27075685-001,2025-01-07 06:59:48,Debit,Loan,Personal Loan,-500.39,3743.63
8010-27075685-001,2025-01-11 13:15:48,Debit,Maintenance/Service,Auto Repair,-210.06,3533.57
8010-27075685-001,2025-01-11 23:48:01,Debit,Maintenance/Service,Plumber Service,-209.95,3323.62
8010-27075685-001,2025-01-16 02:58:25,Debit,Maintenance/Service,Auto Repair,-239.84,3083.78
8010-27075685-001,2025-01-17 13:40:20,Debit,Maintenance/Service,Auto Repair,-242.66,2841.12
8010-27075685-001,2025-01-29 08:39:10,Debit,Maintenance/Service,Electrician Service,-178.24,2662.88
8010-27075685-001,2025-02-01 18:54:19,Debit,Maintenance/Service,Plumber Service,-151.64,2511.24
8010-27075685-001,2025-02-04 19:57:05,Debit,Maintenance/Service,Plumber Service,-170.15,2341.09
